id,publisher,classification,released_games,unreleased_games,total_revenue,avg_revenue_per_game,median_revenue_per_game,hq_country,pct_inhouse,action,adventure,arcade,casino,lifestyle,puzzle,racing,rpg,shooter,simulation,sports,strategy,tabletop
1,Electronic Arts,AAA,172,1,4200000000.0,24700000.0,3400000.0,Sweden,1.0,10.0,0.0,3.0,0.0,1.0,5.0,20.0,12.0,16.0,6.0,10.0,15.0,1.0
2,Ubisoft,AAA,181,3,3100000000.0,17100000.0,1500000.0,France,16.0,27.0,2.0,10.0,0.0,1.0,2.0,8.0,6.0,20.0,4.0,2.0,18.0,2.0
3,Bandai Namco,AAA,158,5,3000000000.0,18900000.0,3900000.0,Japan,1.0,28.0,3.0,18.0,0.0,1.0,1.0,3.0,25.0,9.0,4.0,2.0,6.0,0.0
4,2K,AAA,107,1,3000000000.0,27600000.0,2200000.0,,0.0,7.0,4.0,3.0,0.0,0.0,1.0,1.0,9.0,19.0,4.0,32.0,20.0,0.0
5,Bethesda Softworks,AAA,69,0,2700000000.0,39600000.0,15000000.0,Sweden,6.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,47.0,0.0,0.0,4.0,0.0
6,Valve,AAA,40,2,2600000000.0,64599999.99999999,36900000.0,United States,81.0,5.0,0.0,5.0,0.0,11.0,5.0,0.0,0.0,61.0,5.0,0.0,8.0,0.0
7,SEGA,AAA,174,6,2500000000.0,14200000.0,4400000.0,Sweden,14.0,18.0,1.0,17.0,0.0,0.0,2.0,4.0,11.0,5.0,2.0,15.0,25.0,1.0
8,Capcom,AAA,100,6,2400000000.0,24400000.0,5400000.0,Japan,75.0,58.0,4.0,12.0,0.0,1.0,2.0,0.0,11.0,11.0,0.0,0.0,3.0,0.0
9,Rockstar Games,AAA,24,0,2200000000.0,91600000.0,12200000.0,United States,42.0,83.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0
10,Xbox Game Studios,AAA,65,9,2200000000.0,33700000.0,9100000.0,Sweden,0.0,30.0,7.0,11.0,0.0,0.0,0.0,4.0,11.0,11.0,6.0,0.0,19.0,0.0
11,Feral Interactive,AA,44,0,2100000000.0,48700000.0,41100000.0,United Kingdom,98.0,32.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,2.0,0.0,36.0,0.0
12,Activision,AAA,85,0,1800000000.0,21300000.0,1300000.0,United States,5.0,21.0,15.0,5.0,0.0,0.0,0.0,1.0,7.0,34.0,6.0,5.0,6.0,0.0
13,PlayStation Publishing LLC,AAA,24,2,1700000000.0,69600000.0,37500000.0,Sweden,0.0,56.0,8.0,8.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0
14,FromSoftware,AAA,7,0,1700000000.0,237200000.0,104300000.0,Japan,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,29.0,0.0,0.0,0.0,0.0
15,Paradox Interactive,AA,85,2,1500000000.0,17700000.0,2300000.0,Sweden,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,11.0,1.0,68.0,0.0
16,CD PROJEKT RED,AA,10,0,1500000000.0,150000000.0,10300000.0,Poland,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,30.0,10.0
17,Aspyr,AA,26,1,1500000000.0,55900000.0,6700000.0,,85.0,27.0,4.0,4.0,0.0,0.0,8.0,0.0,15.0,12.0,12.0,0.0,19.0,0.0
18,KRAFTON Inc.,AA,21,9,1400000000.0,66300000.0,297000.0,South Korea,7.0,32.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,29.0,7.0,0.0,18.0,0.0
19,Warner Bros. Games,AAA,18,1,1200000000.0,66600000.0,28800000.0,United States,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,0.0,6.0,0.0,0.0
20,Square Enix,AAA,165,3,1200000000.0,7200000.0,1500000.0,Sweden,58.0,10.0,9.0,5.0,0.0,0.0,2.0,0.0,56.0,7.0,2.0,0.0,8.0,0.0
21,Larian Studios,AA,8,0,1200000000.0,145000000.0,9800000.0,Belgium,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,13.0,0.0
22,Game Science,Indie,2,0,894400000.0,447200000.0,894400000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
23,Deep Silver,AA,48,1,848800000.0,17700000.0,4500000.0,Sweden,0.0,38.0,0.0,6.0,0.0,0.0,0.0,2.0,6.0,33.0,6.0,2.0,4.0,2.0
24,Focus Entertainment,AA,70,3,765100000.0,10900000.0,3000000.0,France,3.0,15.0,10.0,4.0,0.0,0.0,3.0,0.0,20.0,15.0,10.0,3.0,20.0,0.0
25,Bohemia Interactive,AAA,31,5,727500000.0,23500000.0,379000.0,,58.0,23.0,11.0,3.0,0.0,0.0,9.0,0.0,0.0,34.0,6.0,0.0,14.0,0.0
26,Devolver Digital,AA,146,11,724800000.0,5000000.0,1000000.0,Sweden,0.0,34.0,11.0,13.0,0.0,1.0,6.0,1.0,3.0,19.0,3.0,2.0,7.0,0.0
27,Coffee Stain Publishing,AA,15,1,665300000.0,44400000.0,9500000.0,Sweden,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,6.0,25.0,0.0,31.0,0.0
28,Snail Games USA,Indie,19,3,583900000.0,30700000.0,1100000.0,,18.0,59.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,0.0,14.0,0.0
29,Studio Wildcard,AA,3,1,553000000.0,184300000.0,255400000.0,,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
30,Pocketpair,Indie,5,2,536200000.0,107200000.0,6000000.0,,71.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,0.0
